"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
244,"Javier Barrio","Local Guide · 132 reseñas · 136 fotos","Hace 2 años","","","Negativo","T-Bone (60€/kg)","","Carne vulgar sin sabor que suelta agua en el plato caliente, precio desorbitado","No","Muy pobre el T-Bone a 60 euros/kilo. Carne vulgar con nulo sabor y soltando agua en el plato que llega caliente. No merece la pena."
245,"Kani Olivares","10 reseñas","Hace 1 año","","","Positivo","","Comida buenísima, personal muy atento, profesionalidad absoluta de Ney","","No","Ney es un profesional como la copa de un pino y el personal muy atentos. La comida estaba buenísima. Volveremos. Enhorabuena"
246,"Rii Bakal","Local Guide · 14 reseñas · 10 fotos","Hace 1 año","","","Positivo","","Comida deliciosa, atención de 10 y grandes explicaciones de los platos por parte de Ney","","No","Todo delicioso, súper bueno. La atención muy amable, destacando la de Ney al igual que la explicación de los platos. De 10."
247,"MARISA ALCAT","Local Guide · 235 reseñas · 9 fotos","Hace 7 años","","","Mixto","Tuétano a la brasa, Raciones variadas","Terraza muy agradable, raciones ricas y elaboradas, encargado de terraza muy profesional","Comedor interior muy pequeño y angosto, la cuenta se dispara con facilidad si se pide sin control","Sí","Es agradable pero en la terraza, dentro es muy pequeño y resulta angosto Las raciones bien, ricas, algunas como la de tuétano, elaboradas. Pero sino pides con orden y concierto se te pone la cena en un pico.Ojo!.Ah el encargado de la terraza un verdadero profesional"
248,"Francis Lema","Local Guide · 28 reseñas · 33 fotos","Hace 1 año","","","Positivo","Bocaditos de autor","Bocados exquisitos, ambiente excelente y servicio estupendo","","No","Magnífico lugar para tomar unos bocados exquisitos, ambiente y servicio estupendos. Recomendado cien por cien"
249,"Aiste Savickaite","Local Guide · 19 reseñas","Hace 2 años","Cena","Más de 100 €","Negativo","Tortilla de patata, Fideuá, Postres industriales","","Tortilla grasienta con harina y aceite usado, fideuá insípida y salada, postres industriales, precios abusivos","No","No lo recomiendo.. caro y la comida mala y poca...la tortilla de patata lleva harina y mucho aceite usado, malísimo. Fideuá sin sabor, sólo muy salado..Los postres no caseros..Se come mejor en Mercadona o Lidl en casa que allí"
250,"Gema Fariñas","5 reseñas · 4 fotos","Hace 1 año","Cena","20-30 €","Positivo","Tortilla de camarones, Torreznos, Steak tartar, Torrija, Tarta árabe","Comida excelente en todos los platos y postres, trato insuperable","","No","Comimos excelente y el trato insuperable. Recomiendo la tortilla de camarones, los torreznos, el steak tartar y de postres la torrija y tarta árabe."
251,"Julio Sanz Barros","Local Guide · 78 reseñas · 36 fotos","Hace 4 años","","","Positivo","Berberechos a la brasa, Platos para compartir","Platos bien elaborados, berberechos muy sabrosos, buen servicio","Volumen de la música ambiente excesivamente alto","No","Buen sitio para cenar y compartir unos.platos bien elaborados. Los berberechos a la brasa muy sabrosos. Buen servicio y atención. Lástima la música ambiente a un volumen que no entiendo para este local. Recomendable si bajan la música un par de puntos"
252,"JorgeP.","Local Guide · 522 reseñas · 331 fotos","Hace 5 años","","","Positivo","Arroz meloso con vieiras y solomillo ibérico, Zamburiñas","Sabores sorprendentes, carta flexible con opción de raciones o arroces","","Sí","Sitio más que interesante, con una carta que ofrece la posibilidad de comer a base de raciones o tomar un pescado, o un arroz. Tomamos el arroz meloso con vieiras y solomillo ibérico, muy rico (el sabor es sorprendente). Las zamburiñas del..."
253,"alejandra mahou","11 reseñas","Hace 1 año","Cena","30-40 €","Positivo","Opciones sin gluten","Excelente adaptación de toda la carta para celíacos (sin gluten), servicio impecable de Ney","","No","Muy cómodo y el servicio de Ney impecable, me ha traído todas las versiones de los platos sin gluten."
254,"Jaime Summers Inch","Local Guide · 37 reseñas · 25 fotos","Hace 5 años","","","Negativo","Tortilla de Betanzos, Patatas bravas","","Tortilla cruda con patatas que parecen de bolsa, ración de bravas consistente en solo 2 patatas partidas","No","Comida un poco escasa. La tortilla de betanzos da la impresión que está hecha con patatas de bolsa, la cuajan prácticamente nada para que no se note. Las patatas bravas son literalmente dos patatas partidas con salsa."
255,"Gonzalo Arcas","Local Guide · 54 reseñas · 83 fotos","Hace 1 año","","","Positivo","Platos de autor","Platos originales y muy elaborados, ambiente familiar, atención sobresaliente de Ney","","No","Un sitio ideal para ir en familia con platos muy elaborados y originales. Especial mención a Ney que nos supo atender de la mejor manera."
256,"Cristina R","Local Guide · 9 reseñas · 91 fotos","Hace 1 año","","","Positivo","","Comida espectacular y de calidad, trato muy atento y amable, precio acorde","","No","Servicio muy atento y amable, comida espectacular y de calidad. Precio acorde a la calidad."
257,"Guillermo Porrati Paladino","Local Guide · 14 reseñas · 4 fotos","Hace 3 años","","","Negativo","Agua filtrada del grifo, Mermeladas","","Cantidades ridículas, mermeladas de bote y producto precocinado a precio de fresco, cobro de agua de grifo a precio embotellado sin avisar","No","Unas cantidades ridículas para los precios que ofrecen. Mermeladas de bote, producto congelado o procesado/precocinado... a precio de fresco. Pedimos agua y nos pusieron una botella de agua filtrada del grifo que nos la cobraron como embotellada sin avisarnos."
258,"Isabela Balensiefer","11 reseñas","Hace 2 años","","","Positivo","","Comida deliciosa, servicio impecable y camarero Alejandro muy atento","","Sí","Excelente! Comida rica y bien servicio. Especial mención al camarero Alejandro que fue muy muy amable y merece ser nombrado!!"
259,"Estefanía Navarro","3 reseñas","Hace 1 año","Comida","20-30 €","Positivo","","Comida de calidad y trato muy agradable de los camareros","","No","Excelente servicio. El trato de los camareros muy agradable. Comida de calidad, muy buena."
260,"JRH","Local Guide · 68 reseñas · 27 fotos","Hace 2 años","Cena","20-30 €","Negativo","Torreznos con patatas revolconas, Mejillones","","Torreznos grasientos con capa de manteca blanca, patatas revolconas irreconocibles, decadencia progresiva del local","Sí","La Roca está yendo a menos. Pedimos torreznos con revolconas. Posiblemente los peores torreznos que he probado. Trozos grandes con una gran capa de grasa blanca y una cucharada de patatas revolconas de sabor irreconocible. Unos mejillones..."
261,"Ramón del Rey","Local Guide · 158 reseñas · 22 fotos","Hace 6 años","","","Positivo","Ravioli de rabo de toro, Hoja en tempura con vieira, Ensaladilla rusa","Recomendaciones del encargado excelentes, platos deliciosos","","Sí","Fuimos recomendados por varias personas y después de confiar ciegamente en el criterio del encargado, no hemos podido salir más contentos. Probamos el raviolli de rabo de toro, una hoja de algo en tempura con vieira, ensaladilla rusa..."
262,"Juan Cruz","Local Guide · 76 reseñas · 81 fotos","Hace 1 año","Cena","30-40 €","Positivo","Mejillones tigre, Tortilla de patata","Mejillones tigre riquísimos y tortilla sabrosa, ideal para picoteo entre semana","","No","Los mejillones tigre riquísimos. Repetimos! Picoteo para cenar un día entre semana. Correcto. Y la tortilla rica también!"
263,"A M","Local Guide · 33 reseñas · 2 fotos","Hace 4 años","Comida","20-30 €","Positivo","Arroz meloso, Sam de gambas, Zamburiñas","Materia prima excelente, buena técnica, camareros profesionales y muy atentos incluso con sala llena","","No","Muy rico todo en general. Buen producto y buena cocina, y excelente servicio. Camareros profesionales muy atentos, y eso que había gente ... recomendamos especialmente el arroz, los Sam y las zambuiriñas."
264,"David S Navarro","Local Guide · 43 reseñas · 3 fotos","Hace 5 años","","","Negativo","Mollete de cochinita pibil","Buen servicio general","Tapas pequeñas y precio elevado, mollete de cochinita con cantidad ridícula (4 tiras de carne), ausencia de mantel","No","Buen servicio y comida bien ; que las tapas son pequeñas y el precio elevado es opinable, aunque haya otros sitios cerca a mejor precio y, al menos, la misma calidad; pero cuando pides un mollete de cochinita pibil y llega con cuatro tirillas eso ya no es discutible. Tampoco que no pongan un mantel o mantelito."
265,"juan antonio revuelta","Local Guide · 59 reseñas · 105 fotos","Hace 2 años","","","Positivo","Ensaladilla, Patatas bravas de la casa, Cerveza Turia de grifo","Tapas con mucho encanto y sabor delicatessen, cerveza Turia de barril bien tirada","","No","Bueno Bueno queridos Gastro caminantes!!!!! Otro sitio de esos que hay que ¡mojar! Solo nos ha dado tiempo a un par de tapas pero madre mía!!!! Encanto y calidad. Nuestra Turia en el grifo y esa ensaladilla amén de las bravas a su estilo. Delicatessen. !!!!! Volveremos sin duda"
266,"Maria Jesus Hernandez Gonzalez","Local Guide · 77 reseñas · 3 fotos","Hace 4 años","","","Negativo","Ensaladilla rusa, Chipirones a la plancha con arroz, Croquetas","","Raciones muy pequeñas, elaboración escasa para precios altos, ensaladilla simple y chipirones corrientes","Sí","Decepcionante. Escasa elaboración de los platos, raciones pequeñas y precio elevado. Tomamos ensaladilla rusa, una ración pequeña, nada destacable y muy cara dada la simplicidad del plato. Los chipirones a la plancha (con arroz a modo de..."
267,"Pedro Ortega","7 reseñas","Hace 1 año","","","Positivo","Mejillones fuera de carta","Local acogedor, trato familiar, mejillones sugeridos fuera de carta excelentes","","No","Sitio muy acogedor. Servicio de camareros muy agradable, te hacen sentir como en casa. Muy recomendables los mejillones fuera de carta."
268,"horaciodgd","Local Guide · 733 reseñas · 2.336 fotos","Hace 7 años","","","Positivo","Carta fría y caliente, Sugerencias fuera de carta","Comida rica y bien diferenciada, servicio ágil y dimensionado, sugerencias fuera de carta recomendables","Local físicamente pequeño","No","Gran sitio -físicamente pequeño- para comer o cenar. Comida rica que ofrecen en una carta de caliente (100º) y fria (20º). Recomiendo escuchar las sugerencias 'fuera de carta'. El servicio es agil y dimensionado aunque no le pongo la 5*..."
269,"Laura G","Local Guide · 118 reseñas · 206 fotos","Hace 3 años","Comida","30-40 €","Positivo","Ravioli de rabo de toro, Huevo frito Rossini","Cocina espectacular, bocados sabrosos de alta cocina, servicio de mesa excelente","","No","Un sitio totalmente recomendable, por su espectacular cocina, a cada plato más rico, como por la excelente atención de su personal. De lo que más nos gustó su ravioli de rabo de toro o el huevo frito Rossini, espectaculares bocados! Para repetir y recomendar !"
270,"Francisco Andújar","Local Guide · 75 reseñas · 65 fotos","Hace 1 año","Otro","10-20 €","Positivo","Copas preparadas","Trato muy educado y profesional incluso al llegar cerca de la hora de cierre","","No","Fuimos a tomar una copa, a media.hora del cierre y el trato fue educadisimo. Además de una copa muy bue preparada"
271,"Eughenia Soto Collins","10 reseñas","Hace 5 años","","","Positivo","","Calidad muy alta en ingredientes y técnica culinaria a precios muy razonables","","Sí","Sitio espectacular! Gran restaurante para comer en Pozuelo, y os lo digo con conocimiento de causa porque me considero un cliente bastante exigente y las veces que he ido a comer os aseguro que la calidad es muy buena y a unos precios muy razonables!"
272,"Javier Polo O.","Local Guide · 332 reseñas · 66 fotos","Hace 5 años","","","Positivo","Chupitos","Materias primas de gran calidad, excelente elaboración, personal muy profesional, invitación a segunda ronda de chupitos","Cantidades algo justas, precios algo elevados, cobro inicial de la primera ronda de chupitos","Sí","5 estrellas por la calidad de las materias primas y la excelente elaboración de los platos, así como la profesionalidad del personal. Menos 1 estrella porque las cantidades son algo justas, los precios algo elevados, y nos cobraron los chupitos..."
273,"GREGORIA MATEOS","3 reseñas","Hace 4 años","Comida","","Negativo","","","Falta de transparencia al no disponer de cartas físicas con precios de bebidas y postres","No","Acabo de comer hoy con mi pareja en La Roca Pozuelo y nos ha parecido decepcionante. Hay varios detalles que suponen una falta de respeto al cliente que deberían rectificar: no tienen carta de bebidas, ni de postres, solo de vinos, lo que..."
